Istuntokauden uudelleenavaaminen	Resumption of the session
Viime kerralla asiaa lykättiin. Mielestäni on todellakin aivan oikein, että pyydämme nyt kiinnittämään huomiota tähän alueeseen, jotta tulevat konfliktit voitaisiin välttää mahdollisimman hyvin ja jotta tämä voitaisiin myös saattaa tiedoksi Venäjän viranomaisille.	So I think it is only fair that we should turn the spotlight on this region, so as to avoid conflict at a later date as far as we can, and also to bring it to the attention of the Russian authorities.
Arvoisa puhemies, jotta näiden kahden aiheen ei tarvitsisi kilpailla keskenään, voisiko Algerian tilannetta mahdollisesti käsitellä kohdassa "Ihmisoikeudet"? Silloin kaikki ehdotetut aiheet voitaisiin ottaa mukaan.	Madam President, in order to avoid competition arising between these two issues, would it perhaps be possible to discuss the situation in Algeria in the 'human rights' section, in which case, all the issues proposed could be dealt with.
Arvoisa puhemies, jatkaisin vielä torstain istunnosta.	Madam President, I would like to continue with the subject of the Thursday sitting.
Kiinnitän huomiota torstain istuntosuunnitteluun, jonka mukaan keskustelu mietinnöistä jatkuu vielä klo 17.30 jälkeen 18.30 saakka.	I would like to draw your attention to the plan for Thursday' s sitting, which has the debate on reports continuing after 5.30 p.m. until 6.30 p.m..
Silloin on yllättäen käsiteltävänä mietintö EU:n metsäperustaisen teollisuuden kilpailukyvystä, jonka minä olen tehnyt ITRE-valiokunnalle.	Surprisingly, the report to be discussed at that time concerns the competitiveness of forest-based industries, which I tabled for the Committee on Industry, External Trade, Research and Energy.
Sen jälkeen klo 18.30 seuraa äänestys tästä mietinnöstä, joka koskee neljän miljoonan eurooppalaisen työntekijän työpaikkoja ja tämän teollisuudenalan sekä siihen liittyvän teollisuuden kilpailukykyä.	After that, at 6.30 p.m., there is the vote on this report, which affects the jobs of four million employees in Europe and competition in this industry and other related industries.
Mielestäni torstain istuntosuunnittelu on nyt ajautunut hyvin suuriin ongelmiin sen takia, että perjantain istunnot on poistettu, jos me joudumme keskustelemaan tällaisesta neljän miljoonan ihmisen työpaikkaa koskevasta mietinnöstä klo 17.30.	In my opinion, if we have to debate a report like this one, which affects the jobs of four million people, at 5.30 p.m., then the plan for Thursday' s sitting has run up against very big problems as a result of the Friday sittings being discontinued.
Tiedän, että äänestyksiin jää korkeintaan muutama kymmenen ihmistä.	I know that a few dozen people at most will remain to vote.
On parlamentin arvovaltaa alentavaa, että me otamme kantaa näin laaja-alaiseen mietintöön näin pienellä jäsenjoukolla.	It is degrading for Parliament that we should adopt a position on a report on such a wide issue with such a small group of Members.
Tämän takia minä toivoisin, että torstain iltaistunnossa äänestettäisiin vain kiireellisistä asioista ja siirrettäisiin äänestykset, jotka liittyvät näihin varsinaisiin mietintöihin, torstai-illalta seuraavan Brysselin istunnon esityslistalle.	For this reason I would prefer it if Thursday' s evening sitting could be used just to vote on urgent matters, and voting connected with actual reports could be switched to the agenda for the next Brussels part-session.
Arvoisa puhemies, työjärjestyspuheenvuoro.	Madam President, on a point of order.
Kiinnittäisin huomionne siihen tosiseikkaan, että viimeisen vuorokauden aikana Moskovassa on ollut levottomuutta herättäviä tapauksia, jotka ovat suuntautuneet pääasiallisesti riippumattomia tiedotusvälineitä ja lehdistönvapautta vastaan.	I draw your attention to the fact that alarming events have been taking place in Moscow in the past 24 hours, mainly aimed at the independent media and the freedom of the press.
Media Most -ryhmä johtaa Venäjän riippumatonta televisiota, ja sen organisaatiolla on joitakin radioasemia ja riippumattomia aikakauslehtiä.	Media-Most runs the independent television of Russia and its organisation has a number of radio stations and independent magazines.
Andrey Tsimaylo, Media Mostin varapuheenjohtaja, pidätettiin eilen, ja hän joutui viideksi tunniksi kuulusteltavaksi, minkä jälkeen Anton Titov, riippumattoman television talousjohtaja, pidätettiin äitinsä kotona turvallisuuspoliisin murtauduttua sisään ovesta.	Mr Andrey Tsimaylo, the deputy chairman of Media-Most, was yesterday arrested and subjected to five hours of interrogation, following which Mr Anton Titov, the financial director of independent television, was arrested at the home of his mother, the door having been broken in by the security police.
Joitakin muita riippumattoman television alempia työntekijöitä pidätetään ja kuulustellaan meidän nyt täällä istuessamme.	A number of other junior employees of independent television are being arrested and interrogated as we sit here now.
Tämä on levottomuutta herättävää kehitystä, ja se menee pidemmälle kuin Gusinskia koskeva henkilökohtainen kysymys, jonka olen ottanut esille aikaisemmin, ja kuten hyvin tiedetään, olen hänen neuvonantajansa.	This is an alarming development and it goes beyond the personal question of Mr Gusinsky, which I have raised before and, as is well known, I am an adviser to him.
Hyvä puhemies, voisimmeko ottaa tämän asian harkintaan?	Madam President, could we take this matter into consideration?
Te tapasitte Media Mostin varapuheenjohtaja Malashenkon kesäkuussa.	You met the deputy chairman of Media-Most in June, Mr Malashenko.
Puhuitte hänelle tästä ongelmasta, hallituksen painostuksesta lehdistönvapautta vastaan, ja esititte, että jotain olisi tehtävä.	You spoke to him about this problem of government pressure on freedom of the press and you suggested that something should be done.
Voimmeko yrittää löytää jonkin keinon välittää kantamme Venäjän hallitukselle ja selvittää tämän lehdistön- ja mielipiteenvapautta koskevan kysymyksen, joka häiritsee Venäjän federaation ja Euroopan unionin välisiä suhteita?	Can we try to find some way of conveying our views to the Russian Government and sorting out this question of freedom of the press and expression which bedevils relations between the Russian Federation and the European Union?
Arvoisa puhemies, olen muistavinani melko selvästi, että presidentti Ben Ali lähetti teille "kohteliaan" kirjeen sen jälkeen kun hyväksyimme joulukuussa Tunisiaa koskevan päätöslauselman.	Madam President, if I recall correctly, following the resolution on Tunisia which we adopted in December, President Ben Ali was supposed to have sent you, shall we say, a letter of courtesy.
Jos olen oikeassa, voisitteko kertoa meille, mitä kirjeessä sanotaan?	If this is correct, would you share the contents of that letter with us?
Näyttää siltä, että tuo kirje ei ole tullut perille asti.	I have not received any such letter.
Jos olisi, kertoisin siitä tietenkin parlamentille.	If I had, I would naturally have informed the House.
Arvoisa puhemies, viime päivinä ja aivan viime tunteina on kuultu uutisia siitä, että yhä enemmän nuoria sotilaita ja myös monia siviilejä on sairastunut erittäin vakaviin sairauksiin, jotka liittyvät köyhdytettyä uraania sisältävillä kärjillä varustettujen aseiden käytön aiheuttamaan radioaktiiviseen säteilyyn.	Madam President, in recent days, even as we speak, reports have been flooding in of the increasing number of cases of young soldiers and many civilians who have fallen victim to extremely serious illnesses linked to radioactive pollution caused by the use of weapons with depleted uranium warheads.
Arvoisa puhemies, luulen, että ensimmäiseksi voimme kaikki ilmaista mitä syvimmät osanottomme näiden nuorien sotilaiden, eurooppalaisten siviilien ja Jugoslavian tasavallan kansalaisten perheille, jotka ovat menettäneet rakkaimpansa Naton pommien aiheuttaman radioaktiivisen säteilyyn vuoksi.	Firstly, Madam President, I am sure we would all wish to send our deepest sympathy to the families of the young soldiers, the European civilians and the citizens of the Federal Republic of Yugoslavia on the death of their loved ones following radioactive pollution from NATO shells.
Toiseksi haluan sanoa teille, että arvostan suuresti kannanottojanne köyhdytetystä uraanista, ja yhdyn erityisesti pyyntöönne kieltää välittömästi näiden hengenvaarallisten ammusten käyttö.	Secondly, I must tell you that I greatly welcome your statements on the depleted uranium issue. In particular, I support your call for an urgent ban on the use of these lethal shells.
Tiedän erittäin hyvin, että jotkut kiistävät yhteyden näiden kuolemantapausten, sairauksien ja ammusten käytön välillä, mutta tiedän myös, että yksikään kenraali ei voi osoittaa näitä väitteitä vääriksi.	I am quite aware that some people deny that there is any association between the deaths and ill health and the use of the shells, but I also know that no military authority is able to prove the contrary.
Jos ammuksia siis ei ole mahdollista kieltää heti kokonaan, ne on välittömästi asetettava käyttökieltoon, sillä vaikka nyt ei käydäkään sotia, joissa tällaisia ammuksia käytettäisiin, niitä käytetään edelleenkin harjoituksissa.	Therefore, if it is not possible to obtain an immediate ban, it is essential to impose an immediate moratorium, for although these shells are not currently in use in war they continue to be used in exercises.
Luotan siihen, että järkevänä ihmisenä välitätte tämän vaatimuksen eteenpäin.	I trust that you will pursue this matter.
Arvoisa puhemies, olin tänä aamuna klo 8.00 Schipholin lentoasemalla 24 muun parlamentin jäsenen ja avustajan sekä yhden komission jäsenen miellyttävässä seurassa.	Madam President, at 8 a.m. this morning, I found myself in the good company of 24 other MEPs, staff and one Commissioner at Schiphol airport.
Olimme hyvin iloisia, että saimme jälleen lähteä viikoksi Strasbourgiin loman jälkeen, mutta valitettavasti lentomme peruutettiin.	We were really looking forward to spending another week in Strasbourg after the holidays, but our flight was cancelled, unfortunately.
